x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,imputed
27,5,5,0,0.3,0.2,0.6,1.3,0.1,1.2,0.7,0.3,0,0.3,119264.8,3
27,8,15,0.2,1.1,0.8,1.6,3.4,0.1,3.4,2.9,0.3,0.8,0.4,376288.2,1
27,9,16,0.3,1,0.6,1.6,4.2,0.4,3.3,2.8,0.5,0.5,0.8,394982.9,3
27,11,7,0,0.4,0.4,0.5,2.1,0,1.1,1.7,0.4,0.2,0.2,153822.6,1
27,14,14,0.7,1,0.7,2,3.8,0.3,1.7,1.6,0.5,1.2,0.5,298795.2,3
27,15,22,2.1,1.6,0.2,5,3.1,0.6,2.1,4.4,2,0.9,0,498242.2,4
27,16,1,0.1,0.1,0,0.3,0.1,0,0.1,0.2,0.1,0,0,23964.7,1
27,17,4,0.2,0.5,0.3,0.6,0.7,0,0.4,0.8,0.3,0.1,0.1,78395.7,3
27,20,9,0,0.6,0.2,0.6,2.4,0.2,2.4,1.9,0.5,0.2,0,177567.9,2
27,21,3,0,0.2,0.1,0.2,0.8,0.1,0.8,0.6,0.1,0.1,0,59189.3,2
27,22,25.5,1,2.5,0.5,4,6,1,3,4,1.5,1,1,576411.4,0
27,39,13,1.2,1.5,0.4,2.7,1.5,0.4,2,1.6,1.2,0,0.5,200356.3,2
27,49,10,0.7,0.4,0.1,1.7,2.1,0.4,0.8,1.4,1,0.8,0.6,209533.2,1
27,50,11,0,0.9,0.8,0.8,3,0.2,1.5,1.9,0.8,0.8,0.3,259706.1,2
27,51,1,0,0.1,0.1,0.1,0.3,0,0.1,0.2,0,0.1,0,23609.6,1
27,58,6,0.3,0.6,0,0.3,1.2,0,1.7,1.3,0.2,0.4,0,127663.7,2
27,59,1,0,0.1,0,0.1,0.2,0,0.3,0.2,0,0.1,0,21277.3,1
28,1,3,0.1,0.2,0.1,0.5,0.4,0.1,0.8,0.5,0.1,0.1,0.1,74108.2,1
28,2,3,0,0.2,0.2,0.3,0.6,0.1,0.6,0.6,0.1,0.3,0,70421.6,1
28,3,9,0,0.5,0.7,0.9,1.8,0.2,1.8,1.9,0.3,0.9,0,211264.8,3
28,4,32,0.4,1.7,2.4,2.8,6.4,0.8,6.5,6.9,0.9,2.8,0.4,751163.8,4
28,5,37,0.6,2.4,2.6,4.5,8.2,0,9.3,5.1,2.4,0.6,1.3,874668,3
28,6,14,0.2,0.9,0.9,1.7,3.1,0,3.6,1.9,0.9,0.3,0.5,330955.5,2
28,7,40,2.2,6.7,0.6,6.2,9.5,0.1,7.7,3.9,0.4,1.4,1.3,952764.7,2
28,8,55,0.8,3.9,3.1,5.8,12.3,0.4,12.4,10.6,1.2,3.1,1.4,1379723.3,4
28,9,10,0.2,0.7,0.6,1,2.2,0.1,2.3,1.9,0.2,0.6,0.2,250858.8,1
28,11,12,0.6,0.4,0.9,1.2,1.9,0,3,2.6,0.4,0.5,0.5,266063.3,2
28,12,11,0.2,0.8,0.7,1.8,2.7,0,2.2,1.1,0.1,0.8,0.6,242706.8,2
28,13,23,0.3,1.8,1.6,4,6.1,0,4.3,1.8,0,1.9,1.2,506927.3,4
28,14,17,0.2,1.4,1.1,2.9,4.4,0,3.3,1.4,0,1.4,0.9,374685.4,4
28,15,20,2,2.1,0.4,5.1,2.1,0.4,2.9,3.4,1.6,0,0,479293.1,3
28,16,2,0.2,0.2,0,0.6,0.2,0,0.2,0.4,0.2,0,0,47929.4,2
28,17,3,0.1,0.4,0.3,0.4,0.6,0,0.3,0.6,0.2,0,0.1,56501.1,2
28,51,2,0,0.2,0.2,0.2,0.6,0,0.2,0.4,0,0.2,0,47219.2,2
28,59,4,0.1,0.4,0,0.3,0.8,0,1.1,0.9,0.1,0.3,0,85109.1,2
29,0,6,0.2,0.4,0.1,1,0.8,0.1,1.6,1.1,0.3,0.2,0.2,148216.3,2
29,1,28.5,1.1,1.7,0.5,4.5,4.2,0.5,7.4,5,1.4,1.1,1.1,704027.7,4
29,2,38,1.1,2.3,1.5,5.1,6.2,0.8,9.1,7.2,1.6,2,1.1,922728.5,4
29,3,17,0.2,0.9,1.3,1.5,3.4,0.4,3.4,3.8,0.4,1.5,0.2,399055.8,3
29,5,129,11,13,10,22,37,2,11,10,7,4,2,2393937.2,0
29,6,957,53,85,66,168,223,18,107,104,65,48,20,1.81176546E7,0
29,7,168,7,16.5,12,23,40,4,21,24,10.5,7,3,3606901.5,0
29,8,25,0.4,1.8,1.4,2.6,5.6,0.2,5.7,4.8,0.5,1.4,0.6,627147,2
29,9,5,0,0.3,0.3,0.5,1.2,0,1.2,1,0,0.3,0.2,125429.5,3
29,10,13,0.8,0.5,0.8,1.3,2.1,0,3.2,2.8,0.5,0.5,0.5,288235.2,3
29,11,11,0.6,0.4,0.8,1.1,1.8,0,2.8,2.3,0.4,0.4,0.4,243891.3,3
29,12,26,1.1,1.2,1.8,3.3,5,0,6,4.6,0.6,1.3,1.1,575417.4,2
29,13,5,0.1,0.4,0.3,0.8,1.3,0,1,0.4,0,0.4,0.3,110201.6,2
29,14,7,0.2,0.5,0.5,1.2,1.9,0,1.3,0.5,0,0.5,0.4,154282.3,2
29,15,1,0.1,0.1,0,0.3,0.1,0,0.1,0.2,0.1,0,0,23964.7,1
29,16,13,1.3,1.3,0.3,3.3,1.4,0.2,1.9,2.2,1.1,0,0,311540.5,2
29,17,1,0.1,0.1,0,0.3,0.1,0,0.1,0.2,0.1,0,0,23964.7,1
29,18,4,0,0.5,0.5,0.3,0.9,0.1,0.4,0.7,0.2,0.1,0.3,65072.8,2
29,19,16,0,2.1,2.1,0.9,3.7,0.4,1.7,2.9,0.9,0.4,0.9,260291.3,2
29,20,6,0,0.3,0.2,0.4,1.6,0.2,1.6,1.2,0.3,0.2,0,118378.5,2
29,60,2,0,0.1,0.1,0.4,0.5,0.1,0.4,0.1,0,0.2,0.1,45953.8,1
29,61,3,0,0.1,0.1,0.6,0.8,0.1,0.6,0.1,0,0.4,0.2,68930.7,1
30,0,42,3.3,4.6,0.8,7.3,8,1.3,7.4,5.4,1.3,1.3,1.3,989897,4
30,1,6,0.5,0.7,0.1,1,1.1,0.2,1,0.8,0.2,0.2,0.2,141413.9,1
30,2,11,0.8,0.9,0.4,1.8,2.1,0.2,2,1.2,0.5,0.6,0.5,245872.1,4
30,3,13,1,0.8,0.9,1.8,2.6,0.1,2.3,1.3,0.7,1,0.5,271591.4,2
30,5,39,0.5,8.1,1.3,7.4,7.5,1.1,2.8,3,4.4,1.9,1,801363.2,1
30,6,62,2.9,6.9,2.5,11.5,15.5,0.2,4.5,11.7,1.8,4.5,0,1344036.4,1
30,7,4,0.1,0.5,0.4,0.5,1.2,0,0.6,0.2,0.2,0.2,0.1,91628.9,1
30,8,9,0.3,1,0.9,1.2,2.6,0,1.4,0.6,0.6,0.3,0.1,206165.1,2
30,9,6,0.2,0.7,0.6,0.8,1.8,0,0.9,0.3,0.3,0.3,0.1,137443.4,2
30,10,2,0.1,0.3,0,0.2,0.4,0,0.3,0.5,0.1,0,0.1,37688.7,1
30,13,8,0,0.5,0.3,0.8,1,0,2.6,1.4,0.3,1.1,0,189912.8,3
30,19,254,7.8,31.6,16.6,37.8,59.7,1.9,27.4,28.7,20.8,17.9,3.8,5026882,2
30,20,11,0.5,0.5,1.1,1.7,2.5,0.2,1.7,2,0.2,0.4,0.2,235484.7,2
30,21,11,0.6,0.6,1.1,1.7,2.6,0.1,1.7,2,0.1,0.4,0.1,235484.8,3
30,22,4,0.2,0.2,0.4,0.6,0.9,0.1,0.6,0.7,0.1,0.1,0.1,85630.8,1
30,61,6,0.2,0.8,0.2,0.3,2.2,0,0,1.3,0.5,0.5,0,141520.3,1
30,62,2,0,0.3,0.1,0.1,0.7,0,0,0.4,0.2,0.2,0,47173.4,1
31,0,3,0.2,0.3,0.1,0.5,0.6,0.1,0.5,0.4,0.1,0.1,0.1,70706.9,1
31,1,6,0.5,0.6,0.1,1,1.2,0.2,1,0.7,0.2,0.2,0.3,141413.9,3
31,4,17,1.3,1.1,1.1,2.3,3.4,0.2,3,1.7,1,1.3,0.6,355157.9,1
31,5,39.5,2,4.2,1.1,5.4,9.8,0.4,3.4,8.1,1.7,3.4,0,1037161.6,3
31,6,13,0.6,1.4,0.3,1.8,3.2,0.1,1.1,2.7,0.6,1.2,0,341344.3,2
31,8,2,0.1,0.2,0.2,0.3,0.6,0,0.3,0.1,0.1,0.1,0,45814.5,1
31,9,31,1.2,3.6,3,4.1,8.9,0,4.8,1.8,1.8,1.2,0.6,710124.2,2
31,10,147.5,11.3,11.5,12.6,24.1,31.7,2,19.4,16.7,5.3,9.6,3.3,2861876.7,2
31,19,235,4.5,19.5,11,38,55,4,35,37,18,12,1,5020734.4,0
31,20,174,12.4,10.9,7.9,26.8,42.1,3.3,23.8,33.1,2.8,8.6,2.3,3568944,1
31,21,10,0.5,0.5,1,1.6,2.2,0.2,1.6,1.7,0.2,0.3,0.2,214077.1,1
31,22,3,0.2,0.2,0.3,0.5,0.7,0,0.5,0.5,0,0.1,0,64223.1,1
31,30,13,0.8,2.2,0.5,1.4,3.8,0.3,2.2,1,0.5,0,0.3,267560.1,2
31,31,32,1.9,5.3,1.4,3.3,9.3,0.6,5.3,2.7,1.4,0,0.8,658609.5,3
31,32,39,1.4,1.9,1.3,5.6,9.2,2.1,4.2,9.6,1,1.3,1.4,679217.7,3
31,33,23,0.1,0.3,0.1,0.8,4.1,0.3,6.5,8.3,0.1,2.2,0.2,442989.9,2
31,62,4,0.1,0.5,0.1,0.3,1.5,0,0,0.9,0.3,0.3,0,94346.8,2
32,2,6,0.4,0.4,0.4,0.8,1.2,0.1,1,0.6,0.4,0.5,0.2,125349.9,1
32,3,27,1.8,1.8,1.9,3.6,5.5,0.3,5.1,2.9,1.5,1.6,1,574396.7,3
32,4,33,1.8,2.6,2.3,4,7,0.3,7.1,3.8,1.7,1.5,0.9,722455.7,4
32,5,3.5,0.2,0.4,0.1,0.6,1.1,0,0.2,0.5,0.2,0.2,0,95933.7,2
32,6,14,0.7,1.5,0.4,2.1,3.8,0.1,1.1,2.6,0.5,1.2,0,373651.6,3
32,10,11,0.5,1.7,0.3,0.8,2,0,1.4,2.8,0.6,0.3,0.6,207288,1
32,20,1,0,0.1,0.1,0.2,0.2,0,0.2,0.2,0,0,0,21407.7,1
32,33,2,0.1,0.1,0.1,0.3,0.4,0.1,0.2,0.5,0,0.1,0.1,34665.1,1
32,34,36,1.4,3.5,0.4,3.6,8.5,0.6,6.2,8.7,1.3,1.4,0.4,693349,1
33,2,2,0.1,0.2,0.2,0.2,0.4,0,0.5,0.3,0.1,0,0,45912.2,1
33,3,6,0.2,0.6,0.5,0.6,1.3,0,1.5,0.8,0.3,0.1,0.1,137736.6,2
33,4,46,1.5,4.6,3.7,4.6,10.3,0.5,11.7,6.1,1.8,0.6,0.6,1055981.2,4
33,5,3,0.1,0.3,0.1,0.6,1.1,0,0.2,0.3,0.1,0.2,0,84821.7,2
33,8,1,0,0.1,0,0.2,0.4,0,0.1,0.1,0,0.1,0,28273.9,1
33,9,1,0,0.1,0,0.2,0.4,0,0.1,0.1,0,0.1,0,28273.9,1
33,10,4,0,0.2,0.1,0.4,0.5,0,1.3,0.7,0.2,0.6,0,94956.4,1
33,15,2,0.1,0.2,0.2,0.1,0.6,0,0.3,0.2,0.1,0.1,0.1,41463.6,1
33,63,4,0.1,0.6,0.1,0.2,1.5,0,0,0.9,0.3,0.3,0,94346.9,1
34,2,3,0.1,0.3,0.3,0.3,0.7,0,0.8,0.4,0.1,0,0,68868.3,1
34,3,1,0,0.1,0.1,0.1,0.2,0,0.3,0.1,0.1,0,0,22956.1,1
34,4,19,0.6,1.9,1.6,1.9,4.2,0.2,4.8,2.6,0.8,0.2,0.2,436166.1,3
34,5,9,0.3,0.9,0.3,1.8,3.3,0,0.3,1.2,0.3,0.6,0,254465.3,1
34,8,9,0.3,0.9,0.3,1.8,3.3,0,0.3,1.2,0.3,0.6,0,254465.2,2
34,9,2,0.1,0.2,0.1,0.4,0.7,0,0.1,0.2,0.1,0.1,0,56547.8,1
34,11,1,0,0.1,0,0.1,0.1,0,0.3,0.2,0,0.2,0,23739.1,1
34,12,6,0.5,0.6,0.3,1.8,0.9,0.1,1.3,0.1,0,0.4,0,157806.6,1
34,13,41,3.4,4.4,1.7,12.3,6.2,0.8,8.7,0.9,0,2.6,0,1078344.9,3
34,15,2,0.1,0.2,0.2,0.1,0.6,0,0.3,0.2,0.1,0.1,0.1,41463.6,1
34,45,1,0.1,0,0,0.1,0.2,0,0.2,0.2,0.1,0.1,0,20916.1,1
34,63,5,0.1,0.7,0.2,0.3,1.8,0,0,1.1,0.4,0.4,0,117933.6,1
35,1,1,0,0.1,0.1,0.1,0.3,0,0.1,0.2,0.1,0,0,22659.3,1
35,5,8,0.1,1,0.2,1,2,0.2,1.6,1,0.5,0.2,0.2,151770.9,1
35,6,20,0.2,2.6,0.5,2.6,4.9,0.3,4,2.6,1.3,0.5,0.5,379427.3,4
35,7,2,0,0.3,0,0.3,0.5,0,0.4,0.3,0.1,0,0.1,37942.7,1
35,10,4,0,0.2,0.1,0.4,0.5,0,1.3,0.7,0.2,0.6,0,94956.4,1
35,11,2.5,0,0.2,0,0.2,0.3,0,0.8,0.5,0.1,0.4,0,59347.8,2
35,12,2,0,0.1,0.1,0.2,0.2,0,0.6,0.4,0.1,0.3,0,47478.2,1
35,15,2,0,0.1,0.1,0.2,0.2,0,0.6,0.4,0.1,0.3,0,47478.2,1
35,59,1,0.1,0,0,0.1,0.2,0,0.2,0.2,0.1,0.1,0,20916.1,1
36,4,4,0,0.5,0.4,0.4,1.1,0,0.3,0.8,0.4,0.1,0,90637.4,1
36,5,15,0.2,1.9,0.3,2,3.7,0.3,3,2,0.9,0.3,0.4,284570.4,3
36,6,22,0.3,2.8,0.4,3,5.4,0.4,4.5,3,1.3,0.4,0.5,417369.9,3
36,7,6,0.1,0.8,0.1,0.8,1.5,0.1,1.2,0.8,0.3,0.1,0.2,113828.1,2
36,11,7,0,0.4,0.2,0.6,0.8,0,2.3,1.3,0.3,1.1,0,166173.7,2
36,65,3,0,0.4,0.1,0.2,1.1,0,0,0.6,0.3,0.3,0,70760.1,2
36,66,2,0,0.3,0.1,0.1,0.7,0,0,0.4,0.2,0.2,0,47173.4,1
37,3,9,0,0.6,1.1,1.4,2.4,0.3,0.4,1.6,0.8,0.4,0,200265.8,2
37,5,9,0.1,1.2,0.2,1.2,2.2,0.1,1.8,1.2,0.5,0.2,0.3,170742.2,2
37,6,9,0.1,1.1,0.2,1.2,2.2,0.2,1.9,1.2,0.5,0.2,0.2,170742.2,1
37,7,1,0,0.1,0,0.1,0.3,0,0.2,0.2,0.1,0,0,18971.4,1
37,11,1,0,0.1,0,0.1,0.1,0,0.3,0.2,0,0.2,0,23739.1,1
37,66,1,0,0.1,0,0.1,0.4,0,0,0.2,0.1,0.1,0,23586.7,1
37,67,1,0,0.1,0,0.1,0.4,0,0,0.2,0.1,0.1,0,23586.7,1
38,0,12,0,1.6,1.2,1.2,3.2,0,0.8,2.4,1.2,0.4,0,271912.2,2
38,17,2,0,0.1,0.1,0.2,0.2,0,0.6,0.4,0.1,0.3,0,47478.2,1
38,68,1,0,0.1,0,0.1,0.4,0,0,0.2,0.1,0.1,0,23586.7,1
38,69,4,0.1,0.6,0.1,0.2,1.5,0,0,0.9,0.3,0.3,0,94346.9,1
39,0,11,0,1.4,1.1,1.1,3,0,0.8,2.2,1.1,0.3,0,249252.7,4
39,2,4,0,0.2,0.5,0.7,1,0.2,0.2,0.7,0.3,0.2,0,88541.2,1
39,3,2,0,0.1,0.3,0.3,0.5,0.1,0.1,0.3,0.2,0.1,0,44270.6,1
39,4,10,0,0.4,1.3,1.7,2.6,0.4,0.4,1.8,0.9,0.5,0,221353.1,2
39,34,2,0.1,0.3,0.1,0.2,0.6,0,0.3,0.2,0.1,0,0.1,41163.1,1
39,45,1,0.1,0,0,0.1,0.2,0,0.2,0.2,0.1,0.1,0,20916.1,1
39,46,1,0.1,0,0,0.1,0.2,0,0.2,0.2,0.1,0.1,0,20916.1,1
39,70,3,0.1,0.4,0.1,0.2,1.1,0,0,0.7,0.2,0.2,0,70760.1,1
40,0,2,0.1,0.2,0.1,0.4,0.7,0.1,0.1,0.1,0.2,0,0,44515.8,1
40,4,9,0.3,1.2,0.3,1.2,2.1,0.3,0.9,2.1,0.6,0,0,177248.1,2
40,5,16,0,3.2,0.6,2.6,5.1,0,1.9,1.3,0.6,0,0.7,261920.7,2
40,34,1,0,0,0.1,0.1,0.4,0,0.1,0.2,0.1,0,0,16593.9,1
40,35,1,0.1,0,0,0.2,0.1,0,0.2,0.2,0.1,0.1,0,22162.9,1
41,3,1,0,0.1,0,0.1,0.3,0,0.1,0.3,0.1,0,0,19694.2,1
41,4,2,0.1,0.2,0.1,0.2,0.5,0.1,0.2,0.5,0.1,0,0,39388.5,1
41,5,1,0,0.2,0,0.2,0.3,0,0.1,0.1,0,0,0.1,16370,1
41,30,2,0,0.1,0.2,0.1,0.7,0,0.3,0.4,0.1,0,0.1,33187.8,1
41,32,2,0,0.1,0.2,0.1,0.7,0,0.3,0.4,0.1,0,0.1,33187.8,1
41,33,8,0.1,0.3,0.7,0.5,2.9,0,1,1.6,0.6,0.1,0.2,132751.2,4
41,35,47.5,2.5,1.6,3.2,10,4.8,0.1,4.9,11.2,2.6,6.6,0,719940,2
41,36,1,0.1,0,0,0.2,0.1,0,0.2,0.2,0.1,0.1,0,22162.9,1
41,46,1,0,0,0,0.1,0.2,0,0.3,0.3,0,0,0.1,15371.1,1
42,1,3,0.1,0.2,0.1,0.6,1.1,0.1,0.2,0.2,0.3,0.1,0,66773.7,1
42,2,12,0.5,1.2,0.5,2.2,4,0.4,0.8,1.2,1,0.2,0,259403.8,4
42,3,9,0.3,1.2,0.3,1.2,2.1,0.3,0.9,2.1,0.6,0,0,177248.1,2
42,4,6,0.2,0.8,0.2,0.8,1.4,0.2,0.6,1.4,0.4,0,0,118165.4,1
42,16,1,0,0.1,0,0.1,0.2,0,0.2,0.2,0.1,0.1,0,25954.7,1
42,18,1,0,0.1,0,0.1,0.2,0,0.2,0.2,0.1,0.1,0,25954.7,1
42,19,22,0.9,2.5,0.6,2.7,4,0.4,3.4,4,1.4,1.7,0.4,571003.1,3
42,20,2,0.1,0.1,0,0.2,0.4,0,0.6,0.5,0.1,0,0,35939.1,1
42,21,2,0.1,0.1,0,0.2,0.4,0,0.6,0.5,0.1,0,0,35939.1,1
42,22,6,0.2,0.1,0.2,0.5,1.4,0,1.8,1.1,0.4,0.2,0.1,121007.5,3
42,23,13,0,0,0.7,1.5,3.2,0,3.9,1.7,1.5,0.5,0,290761.3,3
42,34,2,0,0.1,0.2,0.1,0.7,0,0.3,0.4,0.1,0,0.1,33187.8,1
42,35,112,6.4,1.3,8.8,12.8,21.6,2.8,16,27.3,4.6,10.1,0.3,2281467.9,2
42,36,13,0.4,0.4,1.1,0.9,4.3,0,1.7,2.6,1,0.4,0.2,226858.6,3
42,37,6,0.1,0.3,0.5,0.3,2.1,0,0.8,1.2,0.4,0.1,0.2,99563.3,1
42,38,1,0,0,0.1,0.1,0.4,0,0.1,0.2,0.1,0,0,16593.9,1
43,2,4,0.2,0.3,0.2,0.8,1.4,0.2,0.2,0.2,0.4,0.1,0,89031.6,1
43,3,7,0.3,0.6,0.3,1.4,2.5,0.3,0.4,0.4,0.7,0.1,0,155805.3,3
43,4,6,0.3,0.5,0.3,1.2,2.2,0.2,0.3,0.3,0.5,0.2,0,133547.4,1
43,11,4,0.2,0.5,0.1,0.5,1.2,0,0.8,0.1,0.2,0.2,0.2,101990.9,1
43,17,1,0,0.1,0,0.1,0.2,0,0.2,0.2,0.1,0.1,0,25954.7,1
43,18,17,0.7,1.9,0.5,2.1,3.1,0.2,2.7,3.2,1.1,1.3,0.2,441229.7,3
43,19,136.5,4.7,20.8,8.5,7,52.9,5.3,9.4,11.9,7.5,4.2,4.3,3349879.5,1
43,20,16,1,0.6,0,1.4,3,0,4.7,4.1,0.6,0.3,0.3,287513,2
43,22,4,0.2,0.2,0,0.3,0.7,0,1.2,1,0.2,0.1,0.1,71878.2,1
43,23,11,0,0,0.7,1.3,2.7,0,3.3,1.4,1.2,0.4,0,246028.8,3
43,37,1,0,0,0.1,0.1,0.4,0,0.1,0.2,0.1,0,0,16593.9,1
44,3,8,0.3,0.6,0.4,1.6,2.9,0.3,0.5,0.5,0.7,0.2,0,178063.2,2
44,7,3,0,0.6,0.1,0.5,1,0,0.4,0.2,0.1,0,0.1,49110.1,1
44,11,6,0.3,0.8,0.1,0.8,1.7,0,1.2,0.2,0.3,0.3,0.3,152986.4,1
44,12,7,0.4,0.9,0.1,0.9,2,0,1.4,0.1,0.4,0.4,0.4,178484.1,2
44,13,13,0.7,1.6,0.3,1.6,3.7,0,2.7,0.3,0.7,0.7,0.7,331470.5,1
44,14,9,0.4,1.1,0.2,1.1,2.6,0,1.9,0.2,0.5,0.5,0.5,229479.5,2
44,16,7,0.3,0.8,0.2,0.8,1.3,0.1,1.1,1.3,0.4,0.6,0.1,181682.8,2
44,17,17,0.7,2,0.4,2.1,3.1,0.3,2.7,3.1,1,1.3,0.3,441229.6,4
44,18,19,0.9,2.2,0.6,2.2,3.5,0.3,2.9,3.5,1.2,1.4,0.3,493139,3
44,19,118,3.3,14,5.9,13.7,33.5,2.5,13.5,14.5,10.3,5.3,1.5,2835556.9,2
44,20,41,0.5,4.4,2,2.7,10.6,0,7.7,7.3,2.4,2.2,1.2,1019116.9,2
44,21,6,0.4,0.2,0,0.6,1.2,0,1.8,1.6,0.2,0,0,107817.4,4
44,22,12,0.3,0.3,0.4,1.3,2.5,0,3.6,2.3,0.9,0.3,0.1,242014.9,4
45,7,1,0,0.2,0,0.2,0.3,0,0.1,0.1,0,0,0.1,16370,1
45,11,16,0.8,1.6,0.6,2.8,3.2,0.8,1.9,2.8,1.1,0.2,0.2,308683,2
45,12,18,0.5,1.6,0.6,2.9,3.5,0.5,2.4,4.1,1.2,0.5,0.2,367653.1,3
45,13,3,0,0.2,0.1,0.4,0.6,0,0.5,0.9,0.2,0.1,0,65522.4,1
45,15,5,0,0.2,0.4,0.4,1.1,0,1.2,0.9,0.4,0.3,0.1,119407.4,2
45,16,44,0,2.3,2.8,3.7,9.8,0.3,10.9,7.8,3.4,2.3,0.7,1050785.4,4
45,17,30,0.5,3.1,1.5,3.3,7.2,0.3,4.9,4.5,2,2,0.7,722647.4,4
45,18,66,4.6,5.2,2.3,17.1,10.7,2.4,9.1,9.1,2.8,1.9,0.8,1588271.2,2
45,19,124.5,6.1,11.6,7.5,23.5,24.9,0.8,15.2,15.3,7.8,9.4,2.4,2823576.1,3
45,20,14,0.8,1.3,0.6,1.5,2.8,0.1,2.7,2.3,1.1,0.3,0.5,340282.1,2
45,21,5,0.3,0.5,0.2,0.5,1,0.1,0.9,0.8,0.4,0.1,0.2,121529.3,1
45,22,9,0.4,0.9,0.5,0.9,1.8,0.1,1.7,1.5,0.7,0.2,0.3,217515.1,2
46,5,1,0,0.2,0,0.2,0.3,0,0.1,0.1,0,0,0.1,16370,1
46,7,2,0,0.4,0.1,0.3,0.6,0,0.2,0.2,0.1,0,0.1,32740.1,1
46,10,7,0.3,0.7,0.2,1.3,1.4,0.4,0.8,1.3,0.5,0,0.1,135048.8,3
46,11,12,0.7,1.2,0.4,2,2.4,0.7,1.5,2,0.8,0.1,0.2,231512.3,2
46,12,12,0.5,1.2,0.4,2.1,2.4,0.7,1.4,2.1,0.8,0.2,0.2,231512.2,2
46,15,11,0,0.6,0.8,0.9,2.5,0,2.7,1.9,0.8,0.6,0.2,262696.3,3
46,16,11,0,0.6,0.7,0.9,2.4,0,2.7,2,0.9,0.6,0.2,262696.3,2
46,17,43.5,0.6,4,2.2,4.5,10.2,0.6,7.8,6.8,3,2.8,1,1046210.3,4
46,18,93,2.1,9.9,3.5,9.9,21.7,1.8,15.7,14.7,4.5,7.7,1.5,2160832.9,3
46,19,69,1.4,7.7,3.4,7.7,16.4,1,10,10,4.6,4.8,2,1665655.2,4
46,20,15,0.8,1.4,0.7,1.6,3,0.2,2.8,2.5,1.2,0.3,0.5,364588,2
46,21,19.5,1.1,1.9,0.8,2,3.9,0.2,3.7,3.2,1.6,0.5,0.6,473964.3,3
46,22,11,0.2,1.7,0.8,1,2.3,0,2,2,0.4,0.3,0.3,257463,3
46,23,10,0,1.8,0.8,0.8,2.2,0,1.7,1.9,0.2,0.3,0.3,230681.7,2
47,2,1,0,0.2,0,0.2,0.3,0,0.1,0.1,0,0,0.1,16370,1
47,12,4,0.1,0.3,0.1,0.8,1,0.1,0.6,0.7,0.1,0.1,0.1,81941.8,3
47,13,7,0,0.5,0.2,1,1.3,0,1.1,2.1,0.5,0.3,0,152885.5,2
47,14,9,0,0.7,0.3,1.3,1.7,0,1.4,2.7,0.6,0.3,0,196567.1,2
47,15,4,0,0.2,0.3,0.3,0.9,0,1,0.7,0.3,0.2,0.1,95525.9,1
47,16,14.5,0.2,0.7,0.9,1.4,3.7,0.1,3.4,2.1,0.9,0.8,0.3,334331.9,2
47,17,66,0.5,3.4,3.6,8.4,12.8,0.4,13.7,9.3,4.2,8.7,1,1470365.8,3
47,18,231,4.7,24.5,17.4,22,74.2,3.1,22.3,40.3,14.6,5.6,2.3,4695032.4,1
47,19,4,0.1,0.4,0.2,0.4,0.9,0.1,0.6,0.6,0.3,0.3,0.1,96559.7,1
47,20,8,0.4,0.7,0.4,0.8,1.6,0.1,1.5,1.3,0.7,0.2,0.3,194446.9,1
47,21,13,0.7,1.2,0.6,1.3,2.6,0.2,2.4,2.1,1.1,0.3,0.5,315976.2,2
47,22,34,1,3.2,0.6,7.3,5.3,0,2.2,9,3,2.2,0.2,867505.6,3
47,23,10.5,0,1.8,0.8,0.8,2.4,0,1.7,2.1,0.3,0.3,0.3,242215.7,2
48,11,8.5,0.4,0.5,0.2,1.5,2.3,0.1,1.1,1.4,0.3,0.4,0.3,200729,1
48,12,6,0.3,0.3,0.2,1,1.6,0.1,0.8,1,0.2,0.3,0.2,141691.1,1
48,13,7,0.2,0,0.3,1,2.3,0.1,2.3,0.3,0.2,0,0.3,138188.2,1
48,14,2.5,0.1,0,0.1,0.4,0.8,0,0.8,0.1,0.1,0,0.1,49352.9,1
48,15,3,0.1,0.2,0.2,0.3,0.9,0,0.6,0.3,0.1,0.2,0.1,66129.2,2
48,16,6,0.2,0.4,0.4,0.6,1.8,0,1.2,0.6,0.2,0.4,0.2,132258.4,3
48,17,882.5,61.2,79.5,44,157,170.5,25,83.1,136.1,51.4,61,13.7,1.66949002E7,1
48,18,241,13.5,19.9,7.5,31.3,50.5,5,33.9,32.1,20.1,24.6,2.6,5356188,2
48,19,1,0,0.2,0,0.1,0.2,0,0.1,0.3,0,0.1,0,24913,1
48,22,1,0,0.1,0,0.3,0.1,0,0,0.3,0.1,0.1,0,26149.2,1
49,10,21,0.9,1.2,0.6,3.7,5.5,0.4,2.9,3.4,0.8,0.9,0.7,495918.7,4
49,11,27,1.2,1.6,0.9,4.7,7.1,0.4,3.6,4.4,1,1.2,0.9,637609.8,4
49,12,14,0.5,0.2,0.4,2.2,4.4,0.3,3.8,1.1,0.4,0.2,0.5,291872.5,3
49,13,4,0.1,0,0.1,0.6,1.3,0.1,1.3,0.2,0.1,0,0.2,78964.7,1
49,14,3,0.1,0,0.1,0.4,1,0.1,1,0.1,0.1,0,0.1,59223.5,1
49,15,2,0.1,0.1,0.1,0.2,0.6,0,0.4,0.2,0.1,0.1,0.1,44086.1,1
